Airdrie, AB (airdrie-ab), 61581, (51.28597, -114.01062)
Detroit, MI (detroit-mi), 665369, (42.3315509, -83.0466403)
Grand Rapids, MI (grand+rapids-mi), 200031, (42.9632405, -85.6678639)
Lansing, MI (lansing-mi), 117540, (42.7337712, -84.5553805)
Sterling Heights, MI (sterling+heights-mi), 131709, (42.5803122, -83.0302033)
Warren, MI (warren-mi), 132877, (38.7535106, -91.1453948)
Minneapolis, MN (minneapolis-mn), 433111, (44.9772995, -93.2654692)
Rochester, MN (rochester-mn), 119862, (44.0234387, -92.4630182)
St. Paul, MN (st.+paul-mn), 306717, (44.9497487, -93.0931028)
Columbia, MO (columbia-mo), 124769, (38.9464035, -92.3484631580807)
Independence, MO (independence-mo), 116774, (39.0924792, -94.4137923)
Kansas City, MO (kansas+city-mo), 497159, (39.100105, -94.5781416)
Lee's Summit, MO (lee's+summit-mo), 101467, (38.9107156, -94.3821295)
Springfield, MO (springfield-mo), 168090, (37.2166779, -93.2920373)
St. Louis, MO (st.+louis-mo), 297645, (38.6264256, -90.1995853)
Jackson, MS (jackson-ms), 157821, (39.04632065, -82.64344670649042)
Billings, MT (billings-mt), 109736, (45.7874957, -108.49607)
Fredericton, NB (fredericton-nb), 58220, (45.94780155, -66.65347069241668)
Moncton, NB (moncton-nb), 71889, (46.097995, -64.80011)
Saint John, NB (saint+john-nb), 67575, (45.278752, -66.058044)
Cary, NC (cary-nc), 173587, (35.7882893, -78.7812081)
Charlotte, NC (charlotte-nc), 900350, (35.2272086, -80.8430827)
Durham, NC (durham-nc), 285897, (35.996653, -78.9018053)
Fayetteville, NC (fayetteville-nc), 211705, (35.0525759, -78.878292)
Greensboro, NC (greensboro-nc), 297878, (36.0726355, -79.7919754)
High Point, NC (high+point-nc), 113565, (35.9556924, -80.0053176)
Raleigh, NC (raleigh-nc), 474414, (35.7803977, -78.6390989)
Wilmington, NC (wilmington-nc), 124794, (34.2257282, -77.9447107)
Winston-Salem, NC (winston-salem-nc), 248112, (36.0998131, -80.2440518)
Fargo, ND (fargo-nd), 125209, (46.877229, -96.789821)
Lincoln, NE (lincoln-ne), 290505, (40.8088861, -96.7077751)
Omaha, NE (omaha-ne), 478393, (41.2587459, -95.9383758)
Manchester, NH (manchester-nh), 112546, (42.9956397, -71.4547891)
Elizabeth, NJ (elizabeth-nj), 128382, (40.6639916, -74.2107006)
Jersey City, NJ (jersey+city-nj), 262664, (40.7215682, -74.047455)
Newark, NJ (newark-nj), 282520, (40.735657, -74.1723667)
Paterson, NJ (paterson-nj), 144801, (40.9167654, -74.171811)
St. John's, NL (st.+john's-nl), 108860, (47.561701, -52.715149)
Albuquerque, NM (albuquerque-nm), 562540, (35.0841034, -106.650985)
Las Cruces, NM (las+cruces-nm), 105096, (32.3140354, -106.7798078)
Cape Breton, NS (cape+breton-ns), 94285, (46.2950327, -60.93605535048172)
Halifax, NS (halifax-ns), 403131, (44.648618, -63.5859487)
Henderson, NV (henderson-nv), 329172, (36.0301134, -114.9826194)
Las Vegas, NV (las+vegas-nv), 662368, (36.1672559, -115.148516)
North Las Vegas, NV (north+las+vegas-nv), 260098, (36.2005843, -115.121584)
Reno, NV (reno-nv), 259290, (39.5261206, -119.8126581)
Sparks, NV (sparks-nv), 106900, (39.5404679, -119.7487235)
Buffalo, NY (buffalo-ny), 254479, (42.8867166, -78.8783922)
New York, NY (new+york-ny), 8253213, (40.7127281, -74.0060152)
Rochester, NY (rochester-ny), 205225, (43.157285, -77.615214)
Syracuse, NY (syracuse-ny), 141229, (43.0481221, -76.1474244)
Yonkers, NY (yonkers-ny), 200040, (40.9312099, -73.8987469)
Akron, OH (akron-oh), 195994, (41.083064, -81.518485)
Cincinnati, OH (cincinnati-oh), 304548, (39.1014537, -84.5124602)
Cleveland, OH (cleveland-oh), 378589, (41.4996562, -81.6936813)
Columbus, OH (columbus-oh), 903852, (39.9622601, -83.0007065)
Dayton, OH (dayton-oh), 139907, (39.7589478, -84.1916069)
Toledo, OH (toledo-oh), 271455, (41.6529143, -83.5378173)
Broken Arrow, OK (broken+arrow-ok), 111648, (36.0525993, -95.7908195)
Norman, OK (norman-ok), 125762, (35.2225717, -97.4394816)
Oklahoma City, OK (oklahoma+city-ok), 662314, (35.4729886, -97.5170536)
Tulsa, OK (tulsa-ok), 403166, (36.1556805, -95.9929113)
Ajax, ON (ajax-on), 119677, (43.8505287, -79.0208814)
Aurora, ON (aurora-on), 55445, (43.99973, -79.467545)
Barrie, ON (barrie-on), 141434, (44.3893113, -79.6901736)
Belleville, ON (belleville-on), 50716, (44.1633264, -77.3852556)
Brampton, ON (brampton-on), 593638, (43.6858146, -79.7599337)
Brantford, ON (brantford-on), 97496, (43.1408157, -80.2631733)
Burlington, ON (burlington-on), 183314, (43.3248924, -79.7966835)
Caledon, ON (caledon-on), 66502, (43.827060149999994, -79.9061036956765)
Cambridge, ON (cambridge-on), 129920, (43.3600536, -80.3123023)
Chatham-Kent, ON (chatham-kent-on), 101647, (42.41833, -82.0898417)
Clarington, ON (clarington-on), 92013, (43.96868585, -78.65135738273909)
Greater Sudbury, ON (greater+sudbury-on), 161531, (46.49272, -80.991211)
Guelph, ON (guelph-on), 131794, (43.5460516, -80.2493276)
Halton Hills, ON (halton+hills-on), 61161, (43.64701, -80.017604)
Hamilton, ON (hamilton-on), 536917, (43.2560802, -79.8728583)
Kawartha Lakes, ON (kawartha+lakes-on), 75423, (44.575616, -78.8486034)
Kingston, ON (kingston-on), 123798, (44.230687, -76.481323)
Kitchener, ON (kitchener-on), 233222, (43.451291, -80.4927815)
London, ON (london-on), 383822, (42.9537654, -81.2291529)
Markham, ON (markham-on), 328966, (43.8563707, -79.3376825)
Milton, ON (milton-on), 110128, (43.513671, -79.882817)
Mississauga, ON (mississauga-on), 721599, (43.5896231, -79.6443879)
Newmarket, ON (newmarket-on), 84224, (44.056258, -79.461708)
Niagara Falls, ON (niagara+falls-on), 88071, (43.1065603, -79.0639039)
Norfolk County, ON (norfolk+county-on), 64044, (42.7971532, -80.4538365)
North Bay, ON (north+bay-on), 51553, (46.3092115, -79.4607617)
Oakville, ON (oakville-on), 193832, (43.447436, -79.666672)
Oshawa, ON (oshawa-on), 159458, (43.8975558, -78.8635324)
Ottawa, ON (ottawa-on), 934243, (45.4211435, -75.6900574)
Peterborough, ON (peterborough-on), 81032, (44.3048009, -78.3199496)
Pickering, ON (pickering-on), 91771, (43.835765, -79.090576)
Richmond Hill, ON (richmond+hill-on), 195022, (43.880078, -79.439392)
Sarnia, ON (sarnia-on), 71594, (42.9746137, -82.4065585)
Sault Ste. Marie, ON (sault+ste.+marie-on), 73368, (46.52391, -84.320068)
St. Catharines, ON (st.+catharines-on), 133113, (43.1579812, -79.2441003)
Thunder Bay, ON (thunder+bay-on), 107909, (48.406414, -89.259796)
Toronto, ON (toronto-on), 2731571, (43.6534817, -79.3839347)
Vaughan, ON (vaughan-on), 306233, (43.7941544, -79.5268023)
Waterloo, ON (waterloo-on), 104986, (43.4652699, -80.5222961)
Welland, ON (welland-on), 52293, (42.9922181, -79.2484192)
Whitby, ON (whitby-on), 128377, (43.87982, -78.9421751)
Windsor, ON (windsor-on), 217188, (42.317099, -83.0353434)
Bend, OR (bend-or), 101886, (44.0581728, -121.3153096)
Eugene, OR (eugene-or), 173236, (44.0505054, -123.0950506)
Gresham, OR (gresham-or), 110031, (45.4997475, -122.4309766)
Hillsboro, OR (hillsboro-or), 110985, (45.5228939, -122.989827)
Portland, OR (portland-or), 656751, (45.5202471, -122.6741949)
Salem, OR (salem-or), 175891, (44.9391565, -123.033121)
Allentown, PA (allentown-pa), 121470, (40.6022059, -75.4712794)
Philadelphia, PA (philadelphia-pa), 1578487, (39.9527237, -75.1635262)
Pittsburgh, PA (pittsburgh-pa), 299226, (40.4416941, -79.9900861)
Blainville, QC (blainville-qc), 56863, (45.67932, -73.87619)
Brossard, QC (brossard-qc), 85721, (45.4554829, -73.4678904)
Drummondville, QC (drummondville-qc), 75423, (45.8864303, -72.5018764)
Gatineau, QC (gatineau-qc), 276245, (45.4841214, -75.6813728)
Granby, QC (granby-qc), 66222, (45.3990409, -72.721834)
Laval, QC (laval-qc), 422993, (45.60558895, -73.73441730569056)
Longueuil, QC (longueuil-qc), 239700, (45.5333387, -73.4200318)
Lévis, QC (lévis-qc), 143414, (46.7910096, -71.1753274)
Mirabel, QC (mirabel-qc), 50513, (45.652595250000005, -74.06154359364649)
Montreal, QC (montreal-qc), 1704694, (45.5031824, -73.5698065)
Quebec City, QC (quebec+city-qc), 531902, (46.8137431, -71.2084061)
Repentigny, QC (repentigny-qc), 84285, (45.7326055, -73.4528307)
Saguenay, QC (saguenay-qc), 145949, (48.405959, -71.069183)
Saint-Hyacinthe, QC (saint-hyacinthe-qc), 55648, (45.627484, -72.940636)
Saint-Jean-sur-Richelieu, QC (saint-jean-sur-richelieu-qc), 95114, (45.3056879, -73.2533401)
Saint-Jérôme, QC (saint-jérôme-qc), 74346, (45.775426, -74.013176)
Sherbrooke, QC (sherbrooke-qc), 161323, (45.403271, -71.889038)
Terrebonne, QC (terrebonne-qc), 111575, (45.6782015, -73.7424135)
Trois-Rivières, QC (trois-rivières-qc), 134413, (46.3507999, -72.5571257)
Providence, RI (providence-ri), 179270, (51.4325409, -2.6642358)
Charleston, SC (charleston-sc), 139714, (32.7876012, -79.9402728)
Columbia, SC (columbia-sc), 132130, (34.0007493, -81.0343313)
North Charleston, SC (north+charleston-sc), 118752, (32.9131295, -80.0629981965219)
Sioux Falls, SD (sioux+falls-sd), 187809, (43.5460587, -96.7313928)
Regina, SK (regina-sk), 215106, (50.44876, -104.61731)
Saskatoon, SK (saskatoon-sk), 246376, (52.131802, -106.660767)
Chattanooga, TN (chattanooga-tn), 184742, (35.0457219, -85.3094883)
Clarksville, TN (clarksville-tn), 161247, (36.5277607, -87.3588703)
Knoxville, TN (knoxville-tn), 190223, (35.9603948, -83.9210261)
Memphis, TN (memphis-tn), 649705, (35.1490215, -90.0516285)
Murfreesboro, TN (murfreesboro-tn), 150757, (35.8460396, -86.3921096)
Nashville-Davidson metropolitan government, TN (nashville-davidson+metropolitan+government-tn), 671295, (36.2042585, -86.8212516)
Abilene, TX (abilene-tx), 124407, (32.44645, -99.7475905)
Allen, TX (allen-tx), 109379, (33.1031744, -96.6705503)
Amarillo, TX (amarillo-tx), 199654, (35.2072185, -101.8338246)
Arlington, TX (arlington-tx), 398864, (32.701938999999996, -97.10562379033699)
Austin, TX (austin-tx), 995484, (30.2711286, -97.7436995)
Beaumont, TX (beaumont-tx), 115473, (30.0860459, -94.1018461)
Brownsville, TX (brownsville-tx), 183428, (25.9140256, -97.4890856)
Carrollton, TX (carrollton-tx), 139892, (32.9537349, -96.8902816)
College Station, TX (college+station-tx), 119260, (30.5955289, -96.3071042)
Corpus Christi, TX (corpus+christi-tx), 327248, (27.7951482, -97.3942053)
Dallas, TX (dallas-tx), 1343266, (32.7762719, -96.7968559)
Denton, TX (denton-tx), 147515, (33.1838787, -97.1413417)
Edinburg, TX (edinburg-tx), 102374, (26.3013982, -98.1624501)
El Paso, TX (el+paso-tx), 681534, (31.7754152, -106.464634)
Fort Worth, TX (fort+worth-tx), 927720, (32.753177, -97.3327459)
Frisco, TX (frisco-tx), 209980, (33.1506744, -96.8236116)
Garland, TX (garland-tx), 238139, (32.912624, -96.6388833)
Grand Prairie, TX (grand+prairie-tx), 195272, (32.7459645, -96.9977846)
Houston, TX (houston-tx), 2316120, (29.7589382, -95.3676974)
Irving, TX (irving-tx), 240916, (32.8295183, -96.9442177)
Killeen, TX (killeen-tx), 153991, (31.1171441, -97.727796)
Laredo, TX (laredo-tx), 263640, (27.5236998, -99.497352)
League City, TX (league+city-tx), 108477, (29.5074538, -95.0949303)
Lewisville, TX (lewisville-tx), 112232, (33.046233, -96.994174)
Lubbock, TX (lubbock-tx), 262611, (33.5635206, -101.879336)
McAllen, TX (mcallen-tx), 143751, (26.2043691, -98.230082)
McKinney, TX (mckinney-tx), 208272, (33.1976496, -96.6154471)
Mesquite, TX (mesquite-tx), 138916, (32.7666103, -96.599472)
Midland, TX (midland-tx), 147069, (31.83688, -102.0103767)
Odessa, TX (odessa-tx), 125413, (31.8457149, -102.367687)
Pasadena, TX (pasadena-tx), 149440, (29.6910625, -95.2091006)
Pearland, TX (pearland-tx), 123562, (29.5639758, -95.2864299)
Plano, TX (plano-tx), 291296, (33.0136764, -96.6925096)
Richardson, TX (richardson-tx), 121112, (32.9481789, -96.7297206)
Round Rock, TX (round+rock-tx), 137575, (30.5085915, -97.6788056)
San Angelo, TX (san+angelo-tx), 101612, (31.4649685, -100.4405094)
San Antonio, TX (san+antonio-tx), 1567118, (29.4246002, -98.4951405)
Sugar Land, TX (sugar+land-tx), 117875, (29.6196787, -95.6349463)
Tyler, TX (tyler-tx), 108222, (30.7563939, -94.3984613)
Waco, TX (waco-tx), 141377, (31.5520981, -97.114845)
Wichita Falls, TX (wichita+falls-tx), 105405, (33.9137085, -98.4933873)
Provo, UT (provo-ut), 116295, (40.2337289, -111.6587085)
Salt Lake City, UT (salt+lake+city-ut), 204087, (40.7596198, -111.8867975)
West Jordan, UT (west+jordan-ut), 116530, (40.6061308, -111.9396586)
West Valley City, UT (west+valley+city-ut), 133894, (40.6967254, -111.9868211)
Alexandria, VA (alexandria-va), 158726, (33.7237617, -116.2673237)
Chesapeake, VA (chesapeake-va), 247011, (36.7183708, -76.2466798)
Hampton, VA (hampton-va), 135464, (52.5324707, -0.2763797)
Newport News, VA (newport+news-va), 179062, (36.9775016, -76.42977)
Norfolk, VA (norfolk-va), 242803, (36.8968052, -76.2602336)
Richmond, VA (richmond-va), 232226, (-32.8652, 151.5012)
Virginia Beach, VA (virginia+beach-va), 451231, (36.8529841, -75.9774183)
Bellevue, WA (bellevue-wa), 148073, (47.6144219, -122.192337)
Everett, WA (everett-wa), 112482, (47.9673056, -122.2013998)
Kent, WA (kent-wa), 130676, (47.3826903, -122.2270272)
Renton, WA (renton-wa), 101494, (47.4799078, -122.2034496)
Seattle, WA (seattle-wa), 769714, (47.6038321, -122.3300624)
Spokane, WA (spokane-wa), 222050, (47.6571934, -117.4235106)
Spokane Valley, WA (spokane+valley-wa), 102893, (47.6571104, -117.2613936)
Tacoma, WA (tacoma-wa), 219945, (47.2495798, -122.4398746)
Vancouver, WA (vancouver-wa), 186192, (45.6306954, -122.6744557)
Green Bay, WI (green+bay-wi), 103836, (44.5126379, -88.0125794)
Madison, WI (madison-wi), 263094, (43.074761, -89.3837613)
Milwaukee, WI (milwaukee-wi), 589067, (43.0349931, -87.922497)